player_uid,player_name,team_code,school_name,conference,season,bats,throws,class_year,production_rank,draft_value_score,reach_score,impact_score,contact_score,risk_score,plate_events,bbe_count,p90_ev_wood_adj,avg_ev_wood_adj,barrel_rate_proxy_wood_adj,contact_rate,whiff_rate,chase_rate,trend_delta,data_completeness_score,one_season_only_flag,missing_critical_count,export_ts
h_829665,"Woodson, Ryder",MSU_BDG,Mississippi State,SEC,2026,Right,Unknown,Unknown,1,68.40316573556797,76.44320297951583,87.15083798882681,49.906890130353815,34.357541899441344,5,4,102.206698,90.51406,25,90,10,42.857142857142854,0,47.05882352941176,TRUE,9,2026-04-20 14:17:54 EDT
h_814505,"Reese, Ace",MSU_BDG,Mississippi State,SEC,2026,Left,Unknown,Unknown,2,65.53538175046555,68.5288640595903,65.3631284916201,70.2048417132216,15.363128491620111,4,4,105.858803,100.08524750000001,0,100,0,10,0,35.294117647058826,TRUE,11,2026-04-20 14:17:54 EDT
h_822871,"Zuckerman, Ryan",GIT_YEL,Georgia Tech,ACC,2026,Right,Unknown,Unknown,3,61.76210428305401,62.290502793296085,60.14897579143389,71.13594040968343,13.268156424581006,4,3,101.752036,96.37128666666668,0,100,0,0,0,30.769230769230774,TRUE,9,2026-04-20 14:17:54 EDT
h_1000328644,"Fetterman, Tyler",ETS_BUC,East Tennessee State,SoCon,2026,Right,Unknown,Unknown,4,61.594506517690874,62.61638733705772,61.452513966480446,71.13594040968343,18.296089385474858,4,3,101.99356800000001,98.44613666666667,0,100,0,0,0,23.80952380952381,TRUE,16,2026-04-20 14:17:54 EDT
h_834598,"Tokheim, Teddy",STA_CAR,Stanford,ACC,2026,Right,Unknown,Unknown,5,60.75651769087523,61.31284916201117,59.5903165735568,67.78398510242086,10.47486033519553,4,3,102.487802,95.33233,0,100,0,14.285714285714286,0,46.15384615384615,FALSE,7,2026-04-20 14:17:54 EDT
h_10063085,"Petite, Michael",VCU_RAM,VCU,Atlantic 10,2026,Right,Unknown,Unknown,6,60.37476722532588,71.97392923649907,98.13780260707635,21.042830540037244,53.49162011173185,5,4,105.671917,99.5372025,25,62.5,37.5,50,0,28.57142857142857,TRUE,10,2026-04-20 14:17:54 EDT
h_824009,"Locurto, Nick",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,Unknown,7,59.02001862197393,77.32774674115457,53.072625698324025,59.5903165735568,35.89385474860335,50,26,99.970114,92.1285972,0,78.26086956521739,21.73913043478261,17.204301075268816,4.758953999999989,21.76165803108809,FALSE,151,2026-04-20 14:17:54 EDT
h_831539,"Frei, Gehrig",MSU_BDG,Mississippi State,SEC,2026,Left,Unknown,Unknown,8,58.60567970204842,49.95344506517691,66.66666666666667,71.13594040968343,16.620111731843576,4,1,108.04644,108.04644,0,100,0,0,0,25,TRUE,3,2026-04-20 14:17:54 EDT
h_837510,"Jeon, Eric",STA_CAR,Stanford,ACC,2026,Right,Unknown,Unknown,9,58.11685288640595,50.046554934823085,64.80446927374301,71.13594040968343,15.782122905027931,3,2,104.380849,101.146765,0,100,0,0,0,23.076923076923066,FALSE,10,2026-04-20 14:17:54 EDT
h_1000462706,"Anderson, Collin",DUK_BLU,Duke,ACC,2026,Right,Unknown,Unknown,10,57.32774674115456,53.957169459962756,54.18994413407821,71.13594040968343,6.70391061452514,4,2,99.99331,93.33619,0,100,0,0,0,44.44444444444444,TRUE,5,2026-04-20 14:17:54 EDT
h_1000091685,"Gracia, AJ",VIR_CAV,Virginia,ACC,2026,Left,Unknown,Unknown,11,56.39199255121042,59.49720670391061,52.886405959031656,67.22532588454375,18.156424581005588,4,3,99.271616,93.81726666666667,0,100,0,16.666666666666668,0,33.33333333333334,TRUE,8,2026-04-20 14:17:54 EDT
h_820842,"Chance, Bryce",MSU_BDG,Mississippi State,SEC,2026,Right,Unknown,Unknown,12,55.938081936685286,45.67039106145251,59.031657355679705,71.13594040968343,5.167597765363128,2,2,100.290197,96.91742500000001,0,100,0,0,0,50,TRUE,2,2026-04-20 14:17:54 EDT
h_1000187570,"Iriotakis, Charlie",WM_TRI,William & Mary,CAA,2026,Left,Unknown,Unknown,13,55.60288640595903,45.48417132216015,58.28677839851024,71.13594040968343,5.167597765363128,2,2,99.77883200000001,99.05396,0,100,0,0,0,50,TRUE,2,2026-04-20 14:17:54 EDT
h_827671,"Stallman, Reed",MSU_BDG,Mississippi State,SEC,2026,Left,Unknown,Unknown,14,55.239757914338924,58.845437616387336,63.68715083798882,53.81750465549349,26.955307262569836,4,3,104.715772,98.30739333333334,0,75,25,10,0,35.294117647058826,TRUE,11,2026-04-20 14:17:54 EDT
h_1000087044,"Son, Junho",RAD_HIG,Radford,Big South,2026,Left,Unknown,Unknown,15,55.1024208566108,58.75232774674115,47.486033519553075,69.6461824953445,16.201117318435756,4,3,96.111062,92.57502333333333,0,100,0,11.11111111111111,0,33.33333333333334,TRUE,10,2026-04-20 14:17:54 EDT
h_804826,"Ogden, Jake",MIA_HUR,Miami,ACC,2026,Right,Unknown,Unknown,16,54.6671322160149,53.11918063314711,50.83798882681564,71.13594040968343,14.385474860335195,4,2,96.172039,95.787275,0,100,0,0,0,29.411764705882348,TRUE,12,2026-04-20 14:17:54 EDT
h_815976,"French, Anderson",VIR_TEC,Virginia Tech,ACC,2026,Left,Unknown,Unknown,17,53.75465549348232,72.81191806331472,69.64618249534452,32.77467411545624,52.932960893854755,26,7,100.814654,81.10410285714286,14.285714285714286,55.55555555555556,44.44444444444444,20.634920634920636,15.380600999999999,10.569105691056919,FALSE,110,2026-04-20 14:17:54 EDT
h_808786,"Duer, Jake",TEX_AGG,Texas A&M,SEC,2026,Left,Unknown,Unknown,18,52.993482309124765,61.12662942271881,53.63128491620112,52.32774674115456,22.06703910614525,4,4,99.481192,93.7877575,0,100,0,40,0,60,TRUE,4,2026-04-20 14:17:54 EDT
h_812674,"Schmidt, Kent",GIT_YEL,Georgia Tech,ACC,2026,Left,Unknown,Unknown,19,52.69087523277467,47.53258845437617,54.74860335195532,71.13594040968343,21.787709497206702,3,2,100.24208800000001,92.82260000000001,0,100,0,0,0,16.666666666666657,TRUE,10,2026-04-20 14:17:54 EDT
h_831426,"Hurt, Willie",VIR_TEC,Virginia Tech,ACC,2026,Left,Unknown,Unknown,20,52.61173184357542,67.13221601489758,45.065176908752335,62.56983240223463,37.709497206703915,7,3,95.340872,91.30966666666667,0,85.71428571428571,14.285714285714286,18.75,0,21.73913043478261,TRUE,18,2026-04-20 14:17:54 EDT
h_831481,"Chandler, Aimon",VIR_TEC,Virginia Tech,ACC,2026,Left,Unknown,Unknown,21,52.01582867783985,57.774674115456236,52.513966480446925,60.70763500931099,31.00558659217877,4,3,101.32025399999999,90.06756666666666,0,80,20,14.285714285714286,0,25,FALSE,12,2026-04-20 14:17:54 EDT
h_838741,"Daniel, Pete",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,Unknown,22,51.771415270018615,72.76536312849161,39.29236499068901,59.031657355679705,38.96648044692738,41,25,100.435096,83.08196375,0,76.92307692307692,23.076923076923077,14.942528735632184,0,21.42857142857143,TRUE,121,2026-04-20 14:17:54 EDT
h_1000133703,"Lethert, Teige",VCU_RAM,VCU,Atlantic 10,2026,Left,Unknown,Unknown,23,50.826350093109866,42.737430167597765,47.299813780260706,71.13594040968343,4.050279329608939,2,2,98.71552799999999,89.22808,0,100,0,0,0,60,TRUE,2,2026-04-20 14:17:54 EDT
h_814963,"Meglio, Charlie",RUT_SCA,Rutgers,Big Ten,2026,Right,Unknown,Unknown,24,50.75651769087524,57.30912476722533,54.18994413407821,57.16945996275606,36.1731843575419,4,3,101.591134,90.90669333333334,0,80,20,20,0,25,TRUE,12,2026-04-20 14:17:54 EDT
h_831482,"Ball, Ethan",VIR_TEC,Virginia Tech,ACC,2026,Left,Unknown,Unknown,25,50.668063314711354,72.48603351955306,52.141527001862194,38.91992551210428,42.039106145251395,52,35,103.427142,87.80969971428571,0,67,33,28.42105263157895,-0.30134600000000944,29.01554404145078,FALSE,137,2026-04-20 14:17:54 EDT
h_825763,"Nunnallee, James",MSU_BDG,Mississippi State,SEC,2026,Left,Unknown,Unknown,26,50.637802607076345,55.819366852886404,34.26443202979516,71.13594040968343,9.776536312849162,4,3,94.105168,87.33006333333334,0,100,0,0,0,35.294117647058826,TRUE,11,2026-04-20 14:17:54 EDT
h_823374,"Murray, Noah",VIR_CAV,Virginia,ACC,2026,Right,Unknown,Unknown,27,50.51443202979515,58.05400372439479,52.513966480446925,59.031657355679705,38.96648044692738,5,2,97.35501500000001,95.728795,0,83.33333333333333,16.666666666666668,20,0,21.05263157894737,TRUE,15,2026-04-20 14:17:54 EDT
h_10121639,"Haesler, Keegan",JMU_DUK,James Madison,Sun Belt,2026,Left,Unknown,Unknown,28,50.40735567970205,55.72625698324022,33.89199255121043,71.13594040968343,10.195530726256983,4,3,94.092962,87.27183000000001,0,100,0,0,0,33.33333333333334,TRUE,8,2026-04-20 14:17:54 EDT
h_1000314364,"Guanzon, Ian",ETS_BUC,East Tennessee State,SoCon,2026,Right,Unknown,Unknown,29,50.02793296089386,56.79702048417132,46.741154562383606,62.569832402234645,31.28491620111732,4,3,97.14662399999999,90.74061666666667,0,83.33333333333333,16.666666666666668,14.285714285714286,0,28.57142857142857,TRUE,10,2026-04-20 14:17:54 EDT
